Channel,Store Type,Store Name,Bill To,Store Location,Status
FRANCHISE,GOOD,DIGITAL WALKER.AYALA.VERTIS NORTH.FRA,DIGITAL WALKER CORP.,,ACTIVE
FRANCHISE,GOOD,BEYOND THE BOX.THE PLAZA.GUAM.FRA,BEYOND THE BOX GUAM,,ACTIVE
FRANCHISE,GOOD,I CENTER.CROSSROADS MALL.CEBU.FRA,RED ICENTER TECHNOLOGIES CORP.,,ACTIVE
ONLINE,GOOD,FITBIT.LAZADA.FBV.ONL,,,ACTIVE
ONLINE,GOOD,ONEPLUS.LAZADA.FBV.ONL,,,ACTIVE
ONLINE,GOOD,ONEPLUS.SHOPEE.FBV.ONL,,,ACTIVE
ONLINE,GOOD,CLOUD LOGIC.NEW MANILA.ONL,,,ACTIVE
ONLINE,GOOD,BASEUS.LAZADA.FBV.ONL,,,ACTIVE
ONLINE,GOOD,FITBIT.SHOPEE.FBV.ONL,,,ACTIVE
ONLINE,GOOD,BASEUS.SHOPEE.FBV.ONL,,,ACTIVE
RETAIL,GOOD,BASEUS.SM.FAIRVIEW.RTL,,,ACTIVE
RETAIL,GOOD,BASEUS.SM.SOUTHMALL.RTL,,,ACTIVE
RETAIL,GOOD,BASEUS.AYALA.TRINOMA.RTL,,,ACTIVE
RETAIL,GOOD,BEYOND THE BOX.CENTURY CITY.MAKATI.RTL,,,ACTIVE
RETAIL,GOOD,BEYOND THE BOX.CITY OF DREAMS.MANILA.RTL,,,ACTIVE
RETAIL,GOOD,BEYOND THE BOX.ROBINSONS.ERMITA.RTL,,,ACTIVE
RETAIL,GOOD,BEYOND THE BOX.ROBINSONS.GALLERIA.RTL,,,ACTIVE
RETAIL,GOOD,BEYOND THE BOX.MEGAWORLD.VENICE GRAND CANAL.RTL,,,ACTIVE
RETAIL,GOOD,BEYOND THE BOX.MEGAWORLD.NEWPORT.RTL,,,ACTIVE
RETAIL,GOOD,BEYOND THE BOX.ONE ROCKWELL.MAKATI.RTL,,,ACTIVE
RETAIL,GOOD,BEYOND THE BOX.SM.BAGUIO.RTL,,,ACTIVE
RETAIL,GOOD,BEYOND THE BOX.MEGAWORLD.SOUTHWOODS.RTL,,,ACTIVE
RETAIL,GOOD,BEYOND THE BOX.MEGAWORLD.UPTOWN MALL.RTL,,,ACTIVE
RETAIL,GOOD,BEYOND THE BOX.KCC.VERANZA.RTL,,,ACTIVE
RETAIL,GOOD,BEYOND THE BOX.GREENHILLS.VMALL.RTL,,,ACTIVE
RETAIL,GOOD,DIGITAL WALKER.AYALA.ABREEZA.RTL,,,ACTIVE
RETAIL,GOOD,DIGITAL WALKER.AYALA.THE 30TH.RTL,,,ACTIVE
RETAIL,GOOD,DIGITAL WALKER.CENTRIO.CDO.RTL,,,ACTIVE
RETAIL,GOOD,DIGITAL WALKER.CENTURY CITY.MAKATI.RTL,,,ACTIVE
RETAIL,GOOD,DIGITAL WALKER.SUPERMALLS.CONRAD HOTEL.RTL,,,ACTIVE
RETAIL,GOOD,DIGITAL WALKER.MEGAWORLD.EASTWOOD.RTL,,,ACTIVE
RETAIL,GOOD,DIGITAL WALKER.ROBINSONS.ERMITA.RTL,,,ACTIVE
RETAIL,GOOD,DIGITAL WALKER.MALLERS.FISHERMALL.RTL,,,ACTIVE
RETAIL,GOOD,DIGITAL WALKER.AYALA.GLORIETTA 2.RTL,,,ACTIVE
RETAIL,GOOD,DIGITAL WALKER.AYALA.NUVALI SOLENAD.RTL,,,ACTIVE
RETAIL,GOOD,DIGITAL WALKER.OKADA.MANILA.RTL,,,ACTIVE
RETAIL,GOOD,DIGITAL WALKER.AYALA.ONE BONIFACIO.RTL,,,ACTIVE
RETAIL,GOOD,DIGITAL WALKER.ROBINSONS.PIONEER.RTL,,,ACTIVE
RETAIL,GOOD,DIGITAL WALKER.SUPERMALLS.THE PODIUM.RTL,,,ACTIVE
RETAIL,GOOD,DIGITAL WALKER.ROCKWELL.POWERPLANT.RTL,,,ACTIVE
RETAIL,GOOD,DIGITAL WALKER.SHANGRI-LA.EDSA.RTL,,,ACTIVE
RETAIL,GOOD,DIGITAL WALKER.SM.AURA.RTL,,,ACTIVE
RETAIL,GOOD,DIGITAL WALKER.SM.BAGUIO.RTL,,,ACTIVE
RETAIL,GOOD,DIGITAL WALKER.SM.CEBU.RTL,,,ACTIVE
RETAIL,GOOD,DIGITAL WALKER.SM.MALL OF ASIA.RTL,,,ACTIVE
RETAIL,GOOD,DIGITAL WALKER.AYALA.TRINOMA.RTL,,,ACTIVE
RETAIL,GOOD,DIGITAL WALKER.GREENHILLS.VMALL.RTL,,,ACTIVE
RETAIL,GOOD,OMG.SM.CDO.RTL,,,ACTIVE
RETAIL,GOOD,OMG.ROBINSONS.ERMITA.RTL,,,ACTIVE
RETAIL,GOOD,OMG.AYALA.FELIZ.RTL,,,ACTIVE
RETAIL,GOOD,OMG.MEGAWORLD.FESTIVE WALK.RTL,,,ACTIVE
RETAIL,GOOD,OUTERSPACE.NAIA.TERMINAL 3.RTL,,,ACTIVE
